"","RC1","RC2","RC3","RC4"
"k",-0.348813480649379,-0.662868661737961,-0.13326443420281,0.115696126664211
"OC",0.831469648806788,0.34904834451186,-0.353533160497963,0.0769587298936541
"Mud",-0.121903821206253,0.905365576192686,0.153771922449157,0.149023277821187
"SAR",0.0889545189647195,-0.062363878174012,0.199308319545913,0.919378423155141
"temperature",-0.898980089035444,0.0443768689917083,-0.355290356145148,-0.0271567319319609
"nitratos",0.905491306298354,-0.0716423974658773,0.308789416864924,0.0549247399182533
"pH",0.218991948733977,-0.670399872179292,0.275157237466634,-0.536476813432767
"phosphates",0.105099309311195,0.149163474656348,0.959699631579719,0.156464047261948
"salinidade",-0.800488438621541,-0.386677022632163,0.374628296128359,0.175513385458961
"water.velocity",0.285934529049254,0.850762120799445,-0.0611740833784825,-0.172381479597885
