"","ID","Ecosystem","P","k","Max.Age","OC","Mud","d13C","SAR","temperature","nitratos","pH","phosphates","salinidade","water.velocity"
"2228","Sg_002","Seagrass",0.00677364236349253,0.00957121017415198,779,0.928417967021739,3.77224730390667,-12.7554688395814,0.127262326713736,19.88354018,0.03515508,8.12288004,0.02330084,35.74200128,0.04807923
"2229","Sg_003","Seagrass",0.00481527941928856,0.00661867915188629,571,1.01682340022222,0.753950114742857,-12.3114987918182,0.138159788984238,19.88354018,0.03515508,8.12288004,0.02330084,35.74200128,0.04807923
"2230","Sg_004","Seagrass",0.00234744220852555,0.0116564139570012,779,0.403068263357143,0.789968798851852,-15.4186294267857,0.0821596919127086,19.88354018,0.03515508,8.12288004,0.02330084,35.74200128,0.04807923
"2231","Sg_005","Seagrass",0.00147495259836597,0.00664709840235518,936,0.232763128302326,0.544680263928571,-17.644381657907,0.103631837606838,19.88354018,0.03515508,8.12288004,0.02330084,35.74200128,0.04807923
"2314","Sg_110","Seagrass",0.00123660224386705,0.00105624696051288,959,0.928961671705882,20.6146108447059,-19.1689639752941,0.0660554744525547,22.72655055,0.00155406,8.10662842,0.00706516,35.52169573,0.14282327
"2315","Sg_111","Seagrass",0.00500173655158542,0.0139208997036101,900,1.28436816081818,16.8279155681818,-11.7400777363636,0.0486388888888889,22.30773909,0.00158693,8.07423443,0.00293382,37.091894,0.00824464
"2316","Sg_112","Seagrass",0.00538226954149462,0.019957647642172,625,1.71036805275,21.729622725,-11.94903875125,0.054748,22.38900952,0.00158339,8.07558538,0.0030387,36.81039615,0.01173238
"2323","Sg_119","Seagrass",0.00654884165546102,0.00293165903297616,852,3.58130434782609,6.74336073252174,-14.6734549737391,0.116197183098592,20.762911,0.00480054,8.12038228,0.01441922,35.64639171,0.08447796
"2324","Sg_120","Seagrass",0.0036688284040343,0.00347527304681509,998,3.71195135230769,7.39214257861538,-13.3909791807692,0.0442554108216433,22.35511964,0.00172905,8.07436337,0.00287771,37.17361997,0.01293455
"2325","Sg_121","Seagrass",0.0214409485941389,0.0208358796259958,533,5.99333333333333,23.8293980025,-13.4971309844444,0.0586210131332083,22.30773909,0.00158693,8.07423443,0.00293382,37.091894,0.00824464
"2369","Sg_170","Seagrass",0.00857044268441636,0.0118896098435251,841,2.712899902,2.9768561687,-15.0733079541667,0.0421848989298454,18.92827206,0.07588965,8.13216889,0.03561093,35.6615747,0.17730277
"2445","Sg_279","Seagrass",0.0013053013842798,0.00203096243528807,970,0.8556666019,25.654354415,-17.2545138616667,0.0773814432989691,17.53073475,0.1746672,8.08171226,0.02614573,36.8889339,0.05559991
"2456","Sg_291","Seagrass",0.00396985820943441,0.000975864812941462,983,3.99173075577778,0,-12.3176153846154,0.119328585961343,15.89886029,1.19269532,8.08733883,0.10537636,36.91782422,0.0291529
"2460","Sg_298","Seagrass",0.00203754499578719,0.000182981686130791,979,2.86773348531034,NA,-13.4811,0.0843125638406537,17.02722867,0.33564234,8.09080111,0.04221143,36.99427058,0.0630556
"2470","Sg_311","Seagrass",0.00852182471255285,0.00542054118558275,989,1.06608251732258,0.691716466666667,-19.4901086323636,0.132952445601618,14.59626142,0.92394042,8.1139421,0.0763289,37.78596633,0.01137595
"2736","Sm_022","Tidal Marsh",0.00200811498244404,0.00145462981263863,995,1.84089863116129,95.9900545364516,-24.3342857142857,0.0667419271859297,18.30118931,0.37513132,8.06180769,0.06192583,35.74671584,0.04933661
"2741","Sm_027","Tidal Marsh",0.00113667690853922,0.000374832702692745,848,0.994928128058824,85.0240086932353,-23.4339444444444,0.124744391863208,18.25806125,0.24594922,8.06421361,0.07362772,35.7997145,0.07538476
"2745","Sm_034","Tidal Marsh",0.00816231302112716,0.00255759613257544,637,3.53839976687879,90.1439449433333,NA,0.260226714913658,18.25806125,0.24594922,8.06421361,0.07362772,35.7997145,0.07538476
